,2d7d03090cf3d2e741eb2579a87e40d5,e3227ca762174d3479c4eb047361908b,f9180d1d639c0df7bf4e686e09d8ce17,93ed35f0fe40a5c024d90d8077c8f4b3,e2a45509bcc2ab91adc206aebc01056a,8c4443ac44be2e107f2c3b899af9312a,label
0,0.0,0.000468871,0.0,0.0,0.000163086,0.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0.0,0.018171732,0
3,0.0,0.000343379,8.08e-05,0.0,8.08e-05,0.002464248,1
4,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.000163528,0.0,0.0,0.0,0.0,0.0,1
6,0.0,0.0,0.023964365,0.0,0.0,0.003808463,1
7,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.022366703,0.0,0.0,0.0,1
9,0.0,0.002799114,0.0,0.0,0.0,0.337543111,1
10,0.0,0.006455683,0.0,0.000546735,0.0,0.0,0
11,0.0,0.0,0.0,0.0,0.0,0.000538925,0
12,0.0,0.000360195,0.021251476,0.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.005603404,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,1
17,0.0,0.128689884,0.000891376,0.0,0.0,0.00064262,1
18,0.0,0.0,0.0,0.0,0.0,0.0,1
19,0.0,0.0,0.0,0.335595088,0.0,0.001308833,0
20,0.0,0.000457341,0.0,0.0,0.0,0.0,0
21,0.0,0.000659679,0.0,0.0,0.0,0.021305187,1
22,0.0,0.0,0.0,0.000777547,0.0,0.0,0
23,0.0,0.0,0.0,0.0,0.0,0.0,0
24,0.0,0.0,0.0,0.0,0.007687134,0.0,1
25,0.0,0.0,0.0,0.00041054,0.0,0.0,0
26,0.0,0.0,0.002941367,0.000627203,0.0,0.0,0
27,0.0,0.0,0.0,0.000492883,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0
30,0.0,0.0,0.0,0.0,0.0,0.005192389,1
31,0.0,0.0,0.0,0.0,0.0,0.0,0
32,0.0,0.000318776,0.0,0.0,0.0,0.0,1
33,0.0,0.0,0.0,0.0,0.0,0.0,1
34,0.0,0.0,0.0,0.0,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.004194457,0
36,0.0,0.0,0.0,0.0,0.0,0.016890408,0
37,0.0,0.000186305,0.0,0.0,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0
39,0.058360945,0.0,0.0,0.0,0.0,0.0,1
40,0.0,0.0,0.0,0.0,0.048278146,0.001721854,1
41,0.0,0.0,0.0,0.0,0.0,0.0,0
42,0.000222486,0.182438446,0.0,0.0,0.0,0.005840255,1
43,0.0,0.000960314,0.137971583,0.0,0.0,0.0,1
44,0.0,0.000148913,0.0,0.0,0.0,0.001538767,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0
46,0.0,0.00034917,0.0,0.0,0.002029548,0.001025686,1
47,0.0,0.000281959,0.0,0.0,0.0,0.0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0
50,0.0,0.0,0.0,0.000440542,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.029753771,0
52,0.0,0.000388403,0.0,0.0,0.000277431,0.0,0
