Sample,37861d3315ed42ed2de0b1240cc857b0,445708cfe16519ae324d0cd120f9201e,cf5d8fa7fe3abaa209e8c16fb9de06a3,2038ae44d4ff4e778860fea6764de1bf,9318fb01e065e29e5b1846c094851dd5,df94fd676586f5d1e75a66f1a6f2c173,843d92ade98c665842a38f97e9e25c43,53f974fcbb53172bf0f158dea261f08e,1098a358702c001279ed9027df3229bc,14f1c0dcc361022fff2874c927535084,2d7d03090cf3d2e741eb2579a87e40d5,2e8db3944d3ec7d460ac73f3a1110096,31f0fb7feacca277f335cbe5dbab6a4c,330dec3d3c9691a76ce8f16330411cb1,3e66ec5d10bee11754f0539204da4b4a,4d013ca197541e09cf412047d1a3cea7,4e05d5c7bdef5922db914cf9c6f2eba3,531dcf2b1d9868b8f90753f824afa2bb,93c06730a4f5178212f056c6fc2581bb,98358a92698b6bf0c374fbfa8b2b45ae,a82655f7055cb4ff17473db3af31a8df,b6fa16d7fcba2946afaa0ef085bfc232,c45e8b8644fda935aae08fa86ab837be,d7c284b6c66c294304304f7512e619e0,ef1ab59d93140ed3c92a402f7291918e,efaf65cc4a38719becb53b6752c56679,fb34868cae3a454cb11ab81899bd1043,f0decd24b0db06d698d31afe93a966c2,e3227ca762174d3479c4eb047361908b,7f4325d79c4f7c5d9758bb74a4a90dcf,d39ac4f348c1e8a8c74f96e63eed52b7,4122275c0f42a44332dcc6151f16cf04,d2c55634c0b6b18e580ec2edffd525b8,ef1f858bbfe23a76679630b83c319afc,5b54a3826e0968a18be2782c7a0492ed,36c18a02b9d56e65fde1b68cdf00e590,f25a2fddac1b86f9a7ebbb7be5196f76,9ce157dd9f0489cccfb123efc7c50695,f9180d1d639c0df7bf4e686e09d8ce17,93ed35f0fe40a5c024d90d8077c8f4b3,e2a45509bcc2ab91adc206aebc01056a,77e9c70bc5f7a1ea993bf54224953f28,6ee6b4197b516bca9330a9f58c85489e,de3d5648abab9e81b0dd863fae366f53,be74d9658348ff8e205ad0fa58d07a0a,9b80483faf84419386baf470189e86a0,8c4443ac44be2e107f2c3b899af9312a,0f6a4e117e962901e48c6cf00e0570ab,7a4bf88ac4fe6686f61dde33bb4736f9,6a1fc0bcfcd22fabb7b8df895df79ca9
cuizhaoyan,0.0,0.0,0.0,0.0,0.0,0.0,0.000366943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000468871,0.000305785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000815428,0.0,0.0,0.000163086,0.000937742,0.000265014,0.000489257,6.12e-05,0.0,0.0,0.0,0.0,0.0
T386615,0.0,0.0,0.0,0.0,0.0,0.00011032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000239028,0.0,0.0
T4511947,0.0,0.0,0.0,0.0,0.0,0.000707741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000153025,0.0,0.0006121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000401691,0.0,0.018171732,0.0,0.013083647,0.0
T4546812,0.000141391,0.0,0.0,0.000565565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000302981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000444373,0.00016159,0.0,0.0,0.0,0.000343379,0.000302981,0.000121193,0.000727155,0.0,0.000565565,0.0,0.001777491,0.0,0.000787751,8.08e-05,0.0,8.08e-05,0.0,0.0,0.000666559,0.00080795,0.001171528,0.002464248,0.0,0.003171205,0.000181789
T4708931,0.0,0.0,0.0,0.0,0.0,7.57e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000605659,0.0,0.0,0.0,0.013381281,0.0
T4771295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000163528,0.0,0.0,0.0,0.0,0.0,0.000626857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45e-05,0.00040882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45e-05,0.0,0.0,0.0,0.0,0.0
T4885622,0.0,0.0,0.0,0.009309577,0.013518931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000623608,0.0,0.0,0.0,0.00142539,0.0,0.0,0.0,0.0,0.0,0.0,0.003986637,0.0,0.000222717,0.0,0.0,0.0,0.0,0.0,0.0,0.001314031,0.0,0.023964365,0.0,0.0,0.014209354,0.0,0.0,8.91e-05,0.0,0.003808463,0.0,0.003363029,0.0
T4978370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13e-05,0.000203285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000996097,0.0,0.0,0.0,0.0,0.020958692
T5309201,0.0,0.0,0.000979014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006426348,0.0,0.0,0.000125515,0.00017572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022366703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T5356332,0.0,0.000233259,0.00083307,0.0,0.0,0.0,0.0,0.0,0.000149953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011663,0.002799114,0.0,0.0,0.001166297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000466519,0.0,0.0,0.000916376,0.0,0.337543111,0.0,0.0,0.0
