	cuizhaoyan	T386615	T4511947	T4546812	T4708931	T4771295	T4885622	T4978370	T5309201	T5356332	T5383979	T5392952	T5402558	T5404288	T5406460	T5407014	T5407024	T5411329	T5411337	T5412670	T5413224	T5414072	T5415755	T5415787	T5416619	T5418386	T5424389	T5425858	T5426822	T5427019	T5430860	T5433863	T5434631	T5436097	T5444043	T5445007	T5445301	T5450212	T5450491	T5453600	T5455039	T5462005	T5468269	T5468282	T5471149	T5513320	T5558516	T5558703	T5559825	T5564869	T5581107	T5581599	T5584547
5650906a05a333c0dc24d5a984b75d1a	0.000693114	0.002647692	0	0.001030137	0.000851708	0.014908288	0.000890869	0.072715076	0	0.032523034	0.100893702	0.000710401	0.00696376	0.008784928	0.087822323	0	0.00077916	0	0.037846668	0.000447759	0	0	0.002128999	0	0.001537427	0	0	0.00043314	0	0	0.092008457	0.121316727	0.000876634	0.386563449	0.000316957	0.006707352	0.364688539	0	0	0.01423898	0	0.338782355	0.000889944	0.000842724	0.001861412	0.003014098	0	0	0.008827342	0.001137066	0.062806544	0.000825061	0
ffd77c5a82cad2d59e1d04ca51c170a1	0.011925633	0	0.00606362	0.007049366	0.102394246	0.003270557	0.012672606	0.044377134	0.194120896	0.002582516	0.001850489	0.003209054	0.264422788	0.009384702	0.001706866	0.004794023	0.001662208	0.108706468	0.08119964	0	0.003315726	0.003200665	0.015606487	0.004621007	0.035240703	0.023736657	0.23215174	0.000582498	0.005343579	0.011815376	0.00438055	0.018534932	0.111531718	0.001683526	0.002113048	0.003136395	0.001333041	0.015856587	0.119900184	0.002180934	0.009933775	0.008554682	0.173001335	0.077354238	0.167055495	0	0.113436484	0.052964907	0.068766847	0.00203475	0.001042615	0.002475184	0.003884034
cc0da8b156d5720b75a7ba31f4a1485f	0	0.002427051	0.000745997	0.00096954	0	0.010738328	0	0.056472597	0	0.025058731	0.077930817	0	0.005162788	0.007109088	0.069595432	0	0	0.000414594	0.027843548	0	0	0.000464219	0	0	0	0.000970366	0	0	0	0	0.071019027	0.092130429	0	0.307221894	0	0.005271412	0.284988395	0.000910822	0	0.010002936	0.00196468	0.261383656	0	0	0	0	0.000851101	0.000433783	0.007037182	0	0.048268672	0	0
40125e2f5a4129ebdd66ca11514bc24c	0.010050149	0.001066431	0.005202854	0.005696049	0.077316173	0.002561936	0.011180401	0.035493576	0.154633999	0.001932721	0.001787404	0.002866102	0.207151862	0.008467401	0.001463028	0.003714849	0.001792068	0.086795191	0.059816824	0.000964403	0.003269992	0.002027902	0.01086715	0.003654637	0.026592678	0.018063746	0.177693189	0.000687049	0.004107048	0.009489152	0.002959831	0.015254	0.086089417	0.001309409	0.001514351	0.002626259	0.001207578	0.013848638	0.093952902	0.001530848	0.007152318	0.005979808	0.134344408	0.05989221	0.132904795	0.003500243	0.087052354	0.041794994	0.049939299	0.001615831	0.000748921	0.002268918	0.002802053
2be48bbc64a61a72e5e75cd173fd0ded	0	0.00011032	0.000133897	0.066211521	0	0.000436074	0.000712695	0.000223614	0.00102922	0.000149953	0	0.016241242	0.000360195	0	0.000264158	0.000394314	0.080357375	0.002570481	0.080869262	0	0.121995838	0.006010408	0.044579384	0.000386548	0.117805323	0.021665298	0.001081385	0	0.034733263	0.06050486	0.00020296	0.00054423	0.027195569	0	0.020355696	0.05488692	0	0.005527035	0.000751042	0.000230676	0.056732892	0.000304919	0.000908484	0.000509554	0.007817929	0.001385513	0.010998843	0.000151824	0	0.000199485	0	0.090834085	0.114689971
8d149906978ecdeb82fb0d75a7288a22	0	0.303050361	0	0	0	0.002398408	0.000534521	0	0	0	0.012448744	0.001420803	0.111720329	0.00044101	0	0	0.024959094	0.000290216	0	0	0.001211955	0	0.00225859	0	0.027385414	0	0	0.000567562	0	0.001266756	0.005429175	0.216448197	0.011256774	0.000402895	0.001567177	0	0	0.001738842	0.001938172	0.000733968	0	0.002727334	0	0.001038707	0	0	0	0.006246476	0.004732608	0	0	0	0
880a9f3e998423f414879adfa26c4d5f	0.000305785	0	0.005910595	0.024117314	0.000340683	0	0.000846325	0.001829566	0	0.003815458	0	0.000220469	0	0.000493932	0	0.000726367	0.00025972	0	0.000165189	0.000413316	0.000960417	0.004422292	0.000351748	0.000210844	0	0.006661939	0.00131929	0	0	0	0.018655391	0	0	0.154222484	0.004560662	0.001360364	0.04127721	0.008404405	0	0.001111437	0	0	0.000685998	0.000156786	0	0.001312591	0.001112978	0.000281959	0.001749007	0.000458816	0.290228788	0.00146964	0.002302677
a9b717d80286628a5b82e6d0bdd48f62	0.000224243	0	0	0.053021734	0.000340683	0	0	0	0	0	0	0.0136691	0	0.000317528	0	0	0.065007921	0.002197347	0.061780739	0	0.100317852	0.004300129	0.033490077	0	0.097986932	0.016813466	0.000908363	0	0.029124713	0.046478419	0	0	0.021856073	0	0.016376123	0.042435808	0	0.004119401	0	0	0.043311258	0	0.000630377	0	0.007098183	0	0.008336425	0	0.000226342	0	0.000117478	0.071909243	0.085837148
214d9f6cb8f3e37c8597887062829ae1	0	0	0.022093001	0.002807627	0.000492098	0	0.004565702	0	0.000150618	0.432163148	0	0	0	0	0.000182879	0	0	0	0.000367087	0	0	0.029881013	0	0	0	0	0	0	0	0.000852181	0.006748414	0.000357637	0	0	0.000405001	0.004723487	0.022802835	0.000538213	0.000557225	0	0.002339956	0	0.007008306	0	0.002134419	0	0.001680379	0	0	0	0	0.036586309	0.000776807
c078a97519bbb7da7fb0b8ac593aa239	0	0.000717083	0	0	0	0	0	0	0	0	0	0	0	0.000529213	0	0	0	0	0	0.000533866	0	0	0.000370261	0	0	0	0.000713714	0.487058086	0	0	0.000338266	0	0	0.001079183	0	0	0	0	0	0	0.001081678	0	0	0.000529152	0	0	0	0	0	0	0	0	0
