OTU,SCC,p_value
37861d3315ed42ed2de0b1240cc857b0,0.431067479,0.001271331
445708cfe16519ae324d0cd120f9201e,0.381836062,0.004783185
cf5d8fa7fe3abaa209e8c16fb9de06a3,0.381836062,0.004783185
2038ae44d4ff4e778860fea6764de1bf,0.3633637,0.007487727
9318fb01e065e29e5b1846c094851dd5,0.359969137,0.008108386
df94fd676586f5d1e75a66f1a6f2c173,-0.348424649,0.010565379
843d92ade98c665842a38f97e9e25c43,0.345944365,0.011169969
53f974fcbb53172bf0f158dea261f08e,0.332089516,0.015124549
1098a358702c001279ed9027df3229bc,0.327506467,0.016672079
14f1c0dcc361022fff2874c927535084,0.327506467,0.016672079
2d7d03090cf3d2e741eb2579a87e40d5,0.327506467,0.016672079
2e8db3944d3ec7d460ac73f3a1110096,0.327506467,0.016672079
31f0fb7feacca277f335cbe5dbab6a4c,0.327506467,0.016672079
330dec3d3c9691a76ce8f16330411cb1,0.327506467,0.016672079
3e66ec5d10bee11754f0539204da4b4a,0.327506467,0.016672079
4d013ca197541e09cf412047d1a3cea7,0.327506467,0.016672079
4e05d5c7bdef5922db914cf9c6f2eba3,0.327506467,0.016672079
531dcf2b1d9868b8f90753f824afa2bb,0.327506467,0.016672079
93c06730a4f5178212f056c6fc2581bb,0.327506467,0.016672079
98358a92698b6bf0c374fbfa8b2b45ae,0.327506467,0.016672079
a82655f7055cb4ff17473db3af31a8df,0.327506467,0.016672079
b6fa16d7fcba2946afaa0ef085bfc232,0.327506467,0.016672079
c45e8b8644fda935aae08fa86ab837be,0.327506467,0.016672079
d7c284b6c66c294304304f7512e619e0,0.327506467,0.016672079
ef1ab59d93140ed3c92a402f7291918e,0.327506467,0.016672079
efaf65cc4a38719becb53b6752c56679,0.327506467,0.016672079
fb34868cae3a454cb11ab81899bd1043,0.327506467,0.016672079
f0decd24b0db06d698d31afe93a966c2,0.324008354,0.01794222
e3227ca762174d3479c4eb047361908b,0.322952787,0.018341276
7f4325d79c4f7c5d9758bb74a4a90dcf,0.321636841,0.018849301
d39ac4f348c1e8a8c74f96e63eed52b7,0.319306712,0.019778154
4122275c0f42a44332dcc6151f16cf04,0.311653238,0.023106448
d2c55634c0b6b18e580ec2edffd525b8,0.306818618,0.025442956
ef1f858bbfe23a76679630b83c319afc,0.306818618,0.025442956
5b54a3826e0968a18be2782c7a0492ed,0.301747236,0.028103851
36c18a02b9d56e65fde1b68cdf00e590,0.301588282,0.028190875
f25a2fddac1b86f9a7ebbb7be5196f76,0.301588282,0.028190875
9ce157dd9f0489cccfb123efc7c50695,0.297217437,0.030673595
f9180d1d639c0df7bf4e686e09d8ce17,0.292846592,0.033335845
93ed35f0fe40a5c024d90d8077c8f4b3,-0.29066117,0.034737254
e2a45509bcc2ab91adc206aebc01056a,0.288475748,0.036187126
77e9c70bc5f7a1ea993bf54224953f28,0.288045756,0.036478206
6ee6b4197b516bca9330a9f58c85489e,0.286533089,0.037517616
de3d5648abab9e81b0dd863fae366f53,0.286533089,0.037517616
be74d9658348ff8e205ad0fa58d07a0a,0.286496948,0.037542747
9b80483faf84419386baf470189e86a0,0.279734058,0.042495893
8c4443ac44be2e107f2c3b899af9312a,0.27545973,0.04589422
0f6a4e117e962901e48c6cf00e0570ab,-0.275030347,0.046247542
7a4bf88ac4fe6686f61dde33bb4736f9,0.271653116,0.049104671
6a1fc0bcfcd22fabb7b8df895df79ca9,0.270992369,0.049680128
bb36432c49541f236f1a3590b3f23888,0.269127323,0.051334089
2197fa054bc092384446ac3f02e08881,-0.26647066,0.053767012
d8087f9236b8fa44cd154c36fa23db00,-0.26647066,0.053767012
ed10e49d68a53e3112800500926a5f0b,-0.26647066,0.053767012
fdea9f599c3016f417d8b4d64a795769,-0.26647066,0.053767012
01c2bd1ecd2e985855cecb8507b36ac1,0.264857483,0.055289343
06982a6b199144084e9c3784edfcba39,0.264857483,0.055289343
10f95543a56403b74d6f600dc26b6844,0.264857483,0.055289343
13a332f40bb241884b41821fbddfdd0f,0.264857483,0.055289343
1e223557c9d36a04c44c4ec02be06382,0.264857483,0.055289343
2136d6e84de7bd2862bd5574f91dee83,0.264857483,0.055289343
23ce0a75ba9385e624bbe9d206a3f589,0.264857483,0.055289343
2a8730869c7875af7bdd325602c7916b,0.264857483,0.055289343
2e32f0617ff07a506a5955da0ac91012,0.264857483,0.055289343
2fcc49fa8ea992a8fa405959f9b9a7c0,0.264857483,0.055289343
3667f114f71703b49ccba65401d9792b,0.264857483,0.055289343
